layer,orig_base_r,clean_base_r,orig_max_drop,clean_max_drop,orig_top_feature,clean_top_feature
0,0.9523,0.3905,0.1644,0.1512,8878,14097
1,0.7598,0.56,0.3089,0.054,22992,21698
2,0.7875,0.7645,0.2752,0.1458,8327,4945
3,0.8757,0.8442,0.2845,0.2595,19325,2703
4,0.9335,0.9351,0.2552,0.1911,12590,6983
5,0.9242,0.9482,0.2014,0.1758,21178,2580
6,0.9003,0.9506,0.1454,0.1346,12892,23066
7,0.9069,0.9453,0.1103,0.1063,787,20349
8,0.9087,0.9448,0.071,0.0613,16307,18007
9,0.9109,0.937,0.0496,0.0357,20103,22143
10,0.9206,0.9112,0.066,0.0236,513,20955
11,0.8528,0.9152,0.079,0.0163,18655,18655
