layer,orig_base_r,clean_base_r,orig_max_drop,clean_max_drop,orig_top_feature,clean_top_feature
0,0.8981,0.3167,0.4293,0.3152,21155,21407
1,0.89,0.0021,0.4064,0.0017,22992,11588
2,0.857,0.6037,0.2972,0.298,8327,12690
3,0.8832,0.6489,0.2549,0.4143,19325,2703
4,0.9103,0.7002,0.2045,0.5745,12590,6983
5,0.9031,0.7329,0.1677,0.6372,21178,2580
6,0.8833,0.728,0.1182,0.153,12892,23066
7,0.8976,0.8464,0.0861,0.0363,787,8314
8,0.8952,0.8768,0.0694,0.0322,16307,8531
9,0.8445,0.9017,0.0787,0.043,10740,22187
10,0.7718,0.9034,0.2276,0.028,20955,14425
11,0.5774,0.9029,0.1302,0.0266,22690,18733
